hour,avg_volume
0,36.72027332023016
1,36.14010913098534
2,32.000299969687845
3,27.640851403119992
4,25.231813293448155
5,26.03414302494228
6,27.708799735320408
7,31.810418823497432
8,33.461751503202045
9,32.96112623083728
10,32.34963705699522
11,32.12941904988277
12,40.57070564797781
13,49.76644705473852
14,62.52774390693615
15,62.75283518573247
16,53.52813888938187
17,46.25317735207092
18,43.53110797905965
19,44.09409455351754
20,41.81453347863276
21,32.977581531772046
22,29.9802593279911
23,30.15779045465168
